gen,nevals,avg,std,min,max
0,100,5.32011604171061,21.69021326531748,-6.80903930604298,87.13935834262664
1,137,21.429359106651518,30.580192916855186,-5.4510384535657,90.67968822339262
2,146,44.00583516761883,35.4674826479034,-5.384495062789089,90.67968822339262
3,147,58.28503174875952,32.9598459956712,-5.3230099791384085,90.67968822339262
4,146,80.22854526544769,20.184435552194845,20.89744140538643,90.67968822339262
5,124,87.09525785228391,8.520874951559776,20.899681047979936,91.01302464366022
6,137,86.26923847016482,11.745684291579407,21.153561224942276,91.01302464366022
7,132,86.6925399398728,10.290407559188687,21.09463815194543,90.96324619773175
8,143,86.36609018208776,11.806619539478946,12.59732261812772,90.96324619773175
9,137,86.97046509511404,10.749697396759325,20.899681047979936,90.67968822339262
10,156,86.98958331545238,10.152904815518642,20.89744140538643,90.67968822339262
11,138,88.60364412410932,6.861384338733948,21.575049982518596,90.67968822339262
12,131,88.80351593763753,8.542157375274556,20.90192571783376,90.67968822339262
13,146,84.82252672464868,16.660972902640054,20.860115447773744,90.67968822339262
14,143,89.07677956277021,6.957338715571524,21.02873816020954,90.67968822339262
15,131,88.98287038273337,8.592448792393478,20.832483509111658,91.8422642182204
16,145,89.87126189008728,6.047918851442985,30.10835578817423,90.67968822339262
17,137,90.42097288091368,0.881619911881235,87.05788162462296,90.67968822339262
18,149,90.58565583425077,0.5129304879465365,87.05788162462296,90.67968822339262
19,146,90.26409754437222,3.400683279363401,56.99364684039827,91.35167900420626
20,140,90.7412622537726,0.24287900032834084,90.49968822339261,91.89616819497442
21,139,90.86361393760588,0.4801989130909549,90.49968822339261,92.6330246436602
22,134,90.12812430730779,6.9723003372056995,21.116677611511722,91.89616819497442
23,136,90.86900707901349,0.8365144594560104,87.05788162462296,91.89616819497442
24,138,90.66238618310592,2.733639772430698,65.69555119757801,91.96878821817866
25,144,89.59104081828318,7.389419505069413,30.31642023266132,91.89616819497442
26,142,89.46366755002894,9.204918970867121,21.28626719449063,91.89616819497442
27,137,91.27408179816872,1.0379999166297698,86.95935834262663,91.89616819497442
28,150,91.04980049703441,4.426996750236643,48.08920335595947,92.29669509194095
29,151,91.80792865788644,0.3793545064572097,89.61167900420627,91.89616819497442
30,148,91.89736819497445,0.011939849245278477,91.89616819497442,92.01616819497441
