Generation,Best Fitness,Mean Fitness,Standard Deviation
0,25.01438882518555,-4.456179988887187,6.160235212795342
1,34.818944806108014,-3.891213064150872,6.585660135584168
2,37.65811972598343,-4.1310117601760314,5.920408338420668
3,39.81218919651121,-4.29846442201429,6.253763096520652
4,18.36340542350689,-4.143523212174048,5.071358282744382
5,17.215181017125673,-4.894615786118104,5.178127603399516
6,19.76942497513882,-5.190795719084202,4.49875749712535
7,19.159035666271055,-5.215112452572414,4.215891711294686
8,18.285263493437224,-4.7572782873873924,5.279464468728027
9,28.176692221807127,-4.248806555807234,5.913251913931702
10,25.58612199385893,-4.095857043460798,6.089958115205465
11,24.774934415189637,-3.9684321064420547,6.355174123235665
12,21.626875578273918,-4.502042356297366,5.188264087410603
13,28.032208714879165,-4.269046456235815,5.9378590882103435
14,23.347586562062084,-4.547528601973469,5.659202458682459
15,31.138006654384437,-4.336301041560204,6.341101639165884
16,21.272147958386363,-4.842546779681083,4.288527641587031
17,26.751815585366725,-4.742164728490247,4.488876592968595
18,27.616691675203025,-4.999305844251503,5.29079051247885
19,32.516112953890214,-4.03146334984954,6.554143164360212
20,31.793579634364313,-4.638468383077369,6.069125489042819
21,27.587107810908087,-4.614913485835013,5.182333458507366
22,33.131174102791384,-4.097263033389359,6.293460634548532
23,33.665144123508874,-4.895954228978258,5.146710216247205
24,14.024484781612646,-5.086600832309442,3.711388621408991
25,18.62517151894754,-4.941484826572083,3.909233815912687
26,30.996961419192537,-5.472796410136889,3.271942230044073
27,16.4135434763378,-5.201933237898393,3.2984503833691896
28,10.382261105628974,-5.076417692120923,3.3763800016119454
29,12.280735769316934,-5.096394155471705,3.7507832282100075
