,number,value,datetime_start,datetime_complete,duration,params_bias_mutate_rate,params_elitism,params_final_crossover_rate,params_final_mutation_rate,params_initial_crossover_rate,params_initial_mutation_rate,params_pop_size,params_response_mutate_rate,params_weight_mutate_rate,state
0,0,63.318519158263896,2024-10-15 15:28:36.575165,2024-10-15 15:46:11.088848,0 days 00:17:34.513683,0.32990454443632405,1,0.353217403463827,0.4089558561388418,0.5312198557349987,0.3487468194167285,95,0.14527110709479257,0.53980355361471,COMPLETE
1,1,34.679798788581024,2024-10-15 15:46:11.089718,2024-10-15 16:23:27.912936,0 days 00:37:16.823218,0.02516196383735063,5,0.5001747314437548,0.020781248106247305,0.19052666170066243,0.43133679675563236,67,0.36813890790761594,0.2175012016476646,COMPLETE
2,2,48.04569098849896,2024-10-15 16:23:27.913706,2024-10-15 17:29:38.754461,0 days 01:06:10.840755,0.19464556406858738,6,0.5827558043032405,0.5613341770344388,0.13229667592343694,0.18213726641065356,98,0.21769201628347384,0.3273603262037697,COMPLETE
3,3,39.01323792911322,2024-10-15 17:29:38.755303,2024-10-15 17:56:49.173629,0 days 00:27:10.418326,0.2929666312872878,3,0.5913565396021935,0.23974329591150859,0.5393557815419391,0.28998750103248533,81,0.5193049179404733,0.5938636204182732,COMPLETE
4,4,43.75181601785973,2024-10-15 17:56:49.174463,2024-10-15 18:50:39.165773,0 days 00:53:49.991310,0.2761184198739111,6,0.3981552935262397,0.1486265742204464,0.5530347725761663,0.20689391238281168,79,0.18183864446198164,0.3619146611636833,COMPLETE
5,5,34.31383231468661,2024-10-15 18:50:39.166650,2024-10-15 19:23:42.861961,0 days 00:33:03.695311,0.11527184626383616,5,0.371425550233334,0.393560286230072,0.1439578872273556,0.5301850013158372,60,0.09136927001401647,0.5568552360434853,COMPLETE
6,6,56.657627687123764,2024-10-15 19:23:42.862454,2024-10-15 19:47:09.285966,0 days 00:23:26.423512,0.22349629560220433,4,0.5125862189509801,0.1998471681629251,0.40438946821712735,0.3884507619602407,52,0.43519270734626325,0.19151988391533598,COMPLETE
7,7,55.75221765606621,2024-10-15 19:47:09.286472,2024-10-15 20:41:09.963871,0 days 00:54:00.677399,0.25033274758344465,6,0.46398803125768473,0.2851532916963701,0.5873295262165147,0.4915238756297148,82,0.5164670654259402,0.2467480716871117,COMPLETE
8,8,34.449086422636434,2024-10-15 20:41:09.965557,2024-10-15 21:12:29.000968,0 days 00:31:19.035411,0.028135122735590448,5,0.23109910297200875,0.11203472278320123,0.2007177187855022,0.31029741249544973,52,0.3308572590733072,0.030082033406377447,COMPLETE
9,9,62.143888626322905,2024-10-15 21:12:29.002583,2024-10-15 22:05:14.811633,0 days 00:52:45.809050,0.4627853353204844,6,0.2497443268902202,0.24235418608894715,0.1620209182459607,0.16875934275443089,82,0.05546203142627449,0.49610478239039507,COMPLETE
10,10,70.16927107958017,2024-10-15 22:05:14.813259,2024-10-15 22:20:49.635681,0 days 00:15:34.822422,0.45654251186933703,0,0.042178344169344184,0.4131089227549447,0.38154823879675404,0.019389105552927666,99,0.20277240773238586,0.4496509989429477,COMPLETE
