Generation,Best Fitness,Mean Fitness,Standard Deviation
0,56.659242037168475,-1.777705427053385,9.861404059811496
1,62.01923847484182,-1.525831338236985,10.86783034907788
2,66.12951484154894,-1.400763991887877,11.875145984495768
3,57.05136080422772,-1.592041731548518,10.69580552044806
4,61.572779553257824,-1.364269145814378,11.858999721906994
5,66.12951484154894,-1.1990043826096557,11.804359964817309
6,66.28312280605903,-1.1543907264670026,11.59513708751778
7,50.63876074412776,-1.4580185516624258,10.85773823148808
8,59.754705093074186,-1.2223941235210578,11.383997972916275
9,55.9981617705859,-1.703393291293709,10.454221448543068
10,62.52498854745794,-1.7016780559632962,10.748772482411884
11,61.393368365057604,-1.4485141484148378,11.251955035045397
12,57.16581286755719,-1.4180768462598539,11.571239283822873
13,59.973942446366394,-1.5464755186870107,10.572638706419742
14,57.16581286755719,-1.406089492637622,11.523713896445841
15,60.095496677199776,-0.8467785443610618,11.691753090639049
16,62.19899764293472,-0.8894496178280267,11.961711994608564
17,69.89541616858136,-1.692790271933799,10.728501040807553
18,66.23632682464077,-1.913225045346105,10.527703177864518
19,66.24388714643149,-1.2215877781982445,11.444952252393078
20,62.594453848463274,-1.3820479292818455,11.055374568531708
21,59.55779509322169,-1.2894194684977607,10.83528429736093
22,66.12951484154894,-0.9882972136885901,11.885806766813085
23,66.12951484154894,-1.7575888629671008,11.22411370369885
24,62.07815856135886,-1.1490847015298533,11.853072519128439
25,59.642028794745244,-1.6528331756218966,11.207412400523472
26,55.9981617705859,-1.5086749225243787,10.766781779972124
27,62.01923847484182,-0.734198229856355,12.339477376059634
28,56.39525743793182,-1.5450704149340764,10.487773469225818
29,56.07368318489351,-1.2032734467301176,11.624518874452589
