Generation,Best Fitness,Mean Fitness,Standard Deviation
0,9.6867466783904,-4.985418837866064,4.21029314342224
1,11.432588696693202,-5.264212771030481,4.182201565895616
2,12.680097111803136,-5.072258460360484,3.9944391665187897
3,14.408641070571099,-5.185585201708301,4.377944265994878
4,22.046943292787866,-5.37027182168515,4.4326835875708746
5,14.971283409441178,-5.436711414632804,4.015211618214427
6,22.065107678063953,-5.395919551003234,4.228765420799969
7,13.686510505513578,-5.252339923212087,4.347511256052939
8,15.360531238936673,-5.229853357743975,4.108218516318211
9,25.036164171798617,-5.156634639240876,4.656151955001844
10,12.455037473696095,-5.223411073529232,4.4848729455841365
11,15.262022507687917,-5.403470170630263,4.035921092083365
12,15.823000290898129,-5.188796672589444,3.9828287917002356
13,11.483026571147448,-5.309306217236044,3.9245536792496
14,15.975330040462843,-5.485801244342727,4.103443436341395
15,11.437976203695449,-5.379287698983223,3.884975097522957
16,22.04873137558014,-5.2085022871673665,4.406639723850356
17,22.04582469479727,-5.064432067605602,4.4706647698934505
18,25.048274941490973,-5.161551445668125,4.929882975256813
19,17.3698653795497,-5.15073193394239,4.072653428928108
20,15.360531238936673,-5.2958063635420505,3.870675576982233
21,11.074840407831111,-5.444528486409146,3.852914519881097
22,14.474296557568266,-5.420863694757597,4.037387268957845
23,10.906957852763064,-5.391077822460666,4.1338247276135425
24,14.936890645371381,-5.41797002638859,4.06159225802367
25,17.37020163094445,-5.272927927742296,4.193904874967144
26,17.36663376033203,-5.249041517803377,4.300177625834232
27,17.278839944656696,-5.263053333914277,4.211227726955777
28,25.049261012098555,-5.178448642899871,4.535283910307511
29,20.029100702553734,-5.145504734290258,4.7006627740516445
