,number,value,datetime_start,datetime_complete,duration,params_elitism,params_generations,params_mutation_rate,params_num_hidden,params_pop_size,state
0,0,88.56726730529593,2024-09-26 16:33:12.420378,2024-09-26 16:37:08.121912,0 days 00:03:55.701534,17,15,0.30203212777470223,10,71,COMPLETE
1,1,90.57288973525115,2024-09-26 16:37:08.123390,2024-09-26 16:44:34.592623,0 days 00:07:26.469233,27,26,0.29501446956106403,5,66,COMPLETE
2,2,89.16322890233346,2024-09-26 16:44:34.593291,2024-09-26 16:49:30.365319,0 days 00:04:55.772028,2,18,0.2561191137933305,14,114,COMPLETE
3,3,90.85356122494231,2024-09-26 16:49:30.365772,2024-09-26 16:51:40.754916,0 days 00:02:10.389144,28,8,0.22404714855423127,13,129,COMPLETE
4,4,89.1109239151048,2024-09-26 16:51:40.755370,2024-09-26 16:56:02.744207,0 days 00:04:21.988837,23,16,0.21793947730279867,14,198,COMPLETE
5,5,92.09237888630939,2024-09-26 16:56:02.744669,2024-09-26 17:03:32.555169,0 days 00:07:29.810500,18,27,0.04146670055556923,10,77,COMPLETE
6,6,89.70322890233346,2024-09-26 17:03:32.555662,2024-09-26 17:10:07.994168,0 days 00:06:35.438506,24,24,0.04256893615947998,6,123,COMPLETE
7,7,91.49959913428289,2024-09-26 17:10:07.994661,2024-09-26 17:17:31.023951,0 days 00:07:23.029290,10,26,0.1801677490204403,7,194,COMPLETE
8,8,90.03288973525116,2024-09-26 17:17:31.024439,2024-09-26 17:22:58.163249,0 days 00:05:27.138810,21,19,0.46845845591161445,20,174,COMPLETE
9,9,89.8157442025855,2024-09-26 17:22:58.163791,2024-09-26 17:28:50.498637,0 days 00:05:52.334846,4,21,0.0620966194889945,15,170,COMPLETE
10,10,91.89853908213779,2024-09-26 17:28:50.499324,2024-09-26 17:37:22.561187,0 days 00:08:32.061863,13,29,0.12039844685898848,10,92,COMPLETE
11,11,90.85968822339261,2024-09-26 17:37:22.561679,2024-09-26 17:45:16.438012,0 days 00:07:53.876333,12,29,0.11144625313353362,10,93,COMPLETE
12,12,89.37173587691744,2024-09-26 17:45:16.438513,2024-09-26 17:54:00.036788,0 days 00:08:43.598275,17,30,0.11679496907242048,10,51,COMPLETE
13,13,91.57968822339261,2024-09-26 17:54:00.037539,2024-09-26 17:56:48.447358,0 days 00:02:48.409819,9,10,0.018165550655826646,8,97,COMPLETE
14,14,90.89736716631765,2024-09-26 17:56:48.447871,2024-09-26 18:03:02.113751,0 days 00:06:13.665880,15,23,0.1289386812205342,11,83,COMPLETE
15,15,89.17482255552046,2024-09-26 18:03:02.114472,2024-09-26 18:11:06.020675,0 days 00:08:03.906203,20,28,0.3919086423256659,16,139,COMPLETE
16,16,89.35356122494231,2024-09-26 18:11:06.023339,2024-09-26 18:14:39.202500,0 days 00:03:33.179161,6,13,0.08127283876803962,8,107,COMPLETE
17,17,89.46322890233346,2024-09-26 18:14:39.203390,2024-09-26 18:20:46.956469,0 days 00:06:07.753079,14,22,0.16810560008993858,17,76,COMPLETE
18,18,91.4666105112725,2024-09-26 18:20:46.957225,2024-09-26 18:27:48.987268,0 days 00:07:02.030043,7,26,0.01867155637143572,12,50,COMPLETE
19,19,87.83636882440193,2024-09-26 18:27:48.988069,2024-09-26 18:36:07.260305,0 days 00:08:18.272236,18,30,0.14807362204587404,9,145,COMPLETE
20,20,91.02679402095825,2024-09-26 18:36:07.261281,2024-09-26 18:37:26.400499,0 days 00:01:19.139218,12,5,0.08269177330758207,12,93,COMPLETE
21,21,89.3614067855038,2024-09-26 18:37:26.400951,2024-09-26 18:40:28.560591,0 days 00:03:02.159640,8,11,0.0152981325886722,8,99,COMPLETE
22,22,90.20661051127252,2024-09-26 18:40:28.561368,2024-09-26 18:42:38.678839,0 days 00:02:10.117471,13,8,0.06399250187485872,8,86,COMPLETE
23,23,89.95356122494232,2024-09-26 18:42:38.679584,2024-09-26 18:48:08.047925,0 days 00:05:29.368341,10,20,0.01314825345797959,6,64,COMPLETE
24,24,90.36394224923467,2024-09-26 18:48:08.048602,2024-09-26 18:51:11.316684,0 days 00:03:03.268082,10,11,0.09482329289019437,11,111,COMPLETE
25,25,89.13955642660935,2024-09-26 18:51:11.317815,2024-09-26 18:58:29.060610,0 days 00:07:17.742795,4,27,0.04670464710200202,9,102,COMPLETE
26,26,89.12297229859381,2024-09-26 18:58:29.061448,2024-09-26 19:05:07.119097,0 days 00:06:38.057649,19,24,0.19227963327995343,7,81,COMPLETE
